difficulty,time
0.5,9.947238
0.5,15.16163
0.5,18.79035
0.5,13.3622
2,19.64946
2,36.8131
1.5,15.50267
0.5,8.95119
0.5,16.32255
0.5,12.0982
1.5,30.80767
2,64.53198
0.5,15.82951
1,22.67918
1,36.3484
2,30.98695
0.5,6.183065
1.5,26.87878
2,38.75417
1.5,24.02492
1,16.45482
1,27.31117
0.5,16.5395
2.5,40.68112
2,21.52273
1,12.4934
1,14.4254
1.5,14.03141
1.5,48.16159
2,30.8987
2.5,33.51941
1,23.50655
1,15.77676
1,21.58924
1.5,23.6491
1.5,17.17654
2,56.4268
1,12.89937
2,25.68045
2,20.81709
2.5,27.42777
1,13.05517
1,13.8455
2,20.8676
1.5,29.74451
1.5,18.00085
1,11.84829
1,30.13492
1,16.60858
2,31.46426
1.5,27.28208
1.5,23.095
1,15.69579
1,18.87502
2,21.78906
1,12.91093
1,14.86802
1,12.16619
1.5,19.80717
1,19.95312
1,18.80926
2,32.36862
0.5,10.81958
2,13.55297
3,53.3355
5,60.62751
1.5,13.848
1,9.039935
1.5,13.25548
1.5,28.5627
5,81.94711
0.5,3.897578
1,23.48467
0.5,25.8181
1,26.36085
1,51.21903
0.5,8.794538
2,26.97429
0.5,18.63743
0.5,24.68811
1,16.10024
0.5,6.984495
2,28.01062
1.5,25.03005
2,31.86688
2.5,21.85682
3,32.30053
1.5,11.81041
2,13.09805
1.5,9.320484
1.5,18.55
0.5,8.560546
0.5,6.633416
0.5,15.13467
2,47.48859
1,6.905919
1,22.42841
0.5,15.15975
